CustomerID,Feedback,Rating,Cleaned_Feedback
CUST0149,The product broke after a week of use. Very disappointed.,2,product break week use disappointed
CUST0150,Delivery was fast and the item arrived in perfect condition.,2,delivery fast item arrive perfect condition
CUST0151,"I had trouble using the product, the instructions were unclear.",5,trouble product instruction unclear
CUST0152,The quality doesn't match the price. Not worth it.,5,quality match price worth
CUST0153,The app is user-friendly and makes my tasks so much easier.,5,app user friendly make task easy
CUST0154,I'm disappointed with the customer service. They were unhelpful.,1,disappointed customer service unhelpful
CUST0155,The quality doesn't match the price. Not worth it.,5,quality match price worth
CUST0156,Delivery was fast and the item arrived in perfect condition.,5,delivery fast item arrive perfect condition
CUST0157,I love the design and functionality. Highly recommended!,5,love design functionality highly recommend
CUST0158,The quality doesn't match the price. Not worth it.,4,quality match price worth
CUST0159,Great value for the price. I will definitely buy again.,5,great value price definitely buy
CUST0160,I love the design and functionality. Highly recommended!,1,love design functionality highly recommend
CUST0161,Great value for the price. I will definitely buy again.,2,great value price definitely buy
CUST0162,I love the design and functionality. Highly recommended!,4,love design functionality highly recommend
CUST0163,The product broke after a week of use. Very disappointed.,1,product break week use disappointed
CUST0164,The quality doesn't match the price. Not worth it.,5,quality match price worth
CUST0165,The product quality is excellent and exceeded my expectations.,2,product quality excellent exceed expectation
CUST0166,The product broke after a week of use. Very disappointed.,1,product break week use disappointed
CUST0167,The app is user-friendly and makes my tasks so much easier.,1,app user friendly make task easy
CUST0168,The product quality is excellent and exceeded my expectations.,4,product quality excellent exceed expectation
CUST0169,Customer support was quick to respond and very helpful.,1,customer support quick respond helpful
CUST0170,The quality doesn't match the price. Not worth it.,1,quality match price worth
CUST0171,Customer support was quick to respond and very helpful.,5,customer support quick respond helpful
CUST0172,The app is user-friendly and makes my tasks so much easier.,2,app user friendly make task easy
CUST0173,The quality doesn't match the price. Not worth it.,4,quality match price worth
CUST0174,The product broke after a week of use. Very disappointed.,2,product break week use disappointed
CUST0175,I'm disappointed with the customer service. They were unhelpful.,1,disappointed customer service unhelpful
CUST0176,I'm disappointed with the customer service. They were unhelpful.,4,disappointed customer service unhelpful
CUST0177,The quality doesn't match the price. Not worth it.,4,quality match price worth
CUST0178,I'm disappointed with the customer service. They were unhelpful.,1,disappointed customer service unhelpful
CUST0179,The product quality is excellent and exceeded my expectations.,2,product quality excellent exceed expectation
CUST0180,Great value for the price. I will definitely buy again.,4,great value price definitely buy
CUST0181,Delivery was fast and the item arrived in perfect condition.,5,delivery fast item arrive perfect condition
CUST0182,The quality doesn't match the price. Not worth it.,1,quality match price worth
CUST0183,The quality doesn't match the price. Not worth it.,2,quality match price worth
CUST0184,The app is user-friendly and makes my tasks so much easier.,1,app user friendly make task easy
CUST0185,The product quality is excellent and exceeded my expectations.,4,product quality excellent exceed expectation
CUST0186,Delivery was fast and the item arrived in perfect condition.,5,delivery fast item arrive perfect condition
CUST0187,I love the design and functionality. Highly recommended!,1,love design functionality highly recommend
CUST0188,Customer support was quick to respond and very helpful.,5,customer support quick respond helpful
CUST0189,The quality doesn't match the price. Not worth it.,1,quality match price worth
CUST0190,Delivery was fast and the item arrived in perfect condition.,5,delivery fast item arrive perfect condition
CUST0191,"I had trouble using the product, the instructions were unclear.",2,trouble product instruction unclear
CUST0192,The quality doesn't match the price. Not worth it.,4,quality match price worth
CUST0193,Customer support was quick to respond and very helpful.,5,customer support quick respond helpful
CUST0194,Delivery was fast and the item arrived in perfect condition.,5,delivery fast item arrive perfect condition
CUST0195,The product broke after a week of use. Very disappointed.,5,product break week use disappointed
CUST0196,"I had trouble using the product, the instructions were unclear.",4,trouble product instruction unclear
CUST0197,Great value for the price. I will definitely buy again.,2,great value price definitely buy
CUST0198,The product quality is excellent and exceeded my expectations.,5,product quality excellent exceed expectation
CUST0199,I love the design and functionality. Highly recommended!,5,love design functionality highly recommend
CUST0200,Delivery was fast and the item arrived in perfect condition.,2,delivery fast item arrive perfect condition
CUST0201,I'm disappointed with the customer service. They were unhelpful.,1,disappointed customer service unhelpful
CUST0202,The app is user-friendly and makes my tasks so much easier.,4,app user friendly make task easy
CUST0203,Delivery was fast and the item arrived in perfect condition.,2,delivery fast item arrive perfect condition
CUST0204,I'm disappointed with the customer service. They were unhelpful.,1,disappointed customer service unhelpful
CUST0205,"I had trouble using the product, the instructions were unclear.",5,trouble product instruction unclear
CUST0206,The product quality is excellent and exceeded my expectations.,5,product quality excellent exceed expectation
CUST0207,The product broke after a week of use. Very disappointed.,1,product break week use disappointed
CUST0208,The app is user-friendly and makes my tasks so much easier.,5,app user friendly make task easy
CUST0209,Delivery was fast and the item arrived in perfect condition.,1,delivery fast item arrive perfect condition
CUST0210,The quality doesn't match the price. Not worth it.,4,quality match price worth
CUST0211,"I had trouble using the product, the instructions were unclear.",1,trouble product instruction unclear
CUST0212,The app is user-friendly and makes my tasks so much easier.,4,app user friendly make task easy
CUST0213,The product broke after a week of use. Very disappointed.,4,product break week use disappointed
CUST0214,The quality doesn't match the price. Not worth it.,4,quality match price worth
CUST0215,Delivery was fast and the item arrived in perfect condition.,5,delivery fast item arrive perfect condition
CUST0216,Great value for the price. I will definitely buy again.,5,great value price definitely buy
CUST0217,The product quality is excellent and exceeded my expectations.,5,product quality excellent exceed expectation
CUST0218,Delivery was fast and the item arrived in perfect condition.,4,delivery fast item arrive perfect condition
CUST0219,The product quality is excellent and exceeded my expectations.,1,product quality excellent exceed expectation
CUST0220,The quality doesn't match the price. Not worth it.,4,quality match price worth
CUST0221,I love the design and functionality. Highly recommended!,5,love design functionality highly recommend
CUST0222,The app is user-friendly and makes my tasks so much easier.,1,app user friendly make task easy
CUST0223,The app is user-friendly and makes my tasks so much easier.,4,app user friendly make task easy
CUST0224,The product quality is excellent and exceeded my expectations.,5,product quality excellent exceed expectation
CUST0225,Delivery was fast and the item arrived in perfect condition.,2,delivery fast item arrive perfect condition
CUST0226,Delivery was fast and the item arrived in perfect condition.,5,delivery fast item arrive perfect condition
CUST0227,Customer support was quick to respond and very helpful.,2,customer support quick respond helpful
CUST0228,I love the design and functionality. Highly recommended!,5,love design functionality highly recommend
CUST0229,I love the design and functionality. Highly recommended!,2,love design functionality highly recommend
CUST0230,Customer support was quick to respond and very helpful.,5,customer support quick respond helpful
CUST0231,I love the design and functionality. Highly recommended!,5,love design functionality highly recommend
CUST0232,The quality doesn't match the price. Not worth it.,4,quality match price worth
CUST0233,Great value for the price. I will definitely buy again.,4,great value price definitely buy
CUST0234,Customer support was quick to respond and very helpful.,5,customer support quick respond helpful
CUST0235,Great value for the price. I will definitely buy again.,5,great value price definitely buy
CUST0236,Delivery was fast and the item arrived in perfect condition.,2,delivery fast item arrive perfect condition
CUST0237,The app is user-friendly and makes my tasks so much easier.,5,app user friendly make task easy
CUST0238,The product broke after a week of use. Very disappointed.,5,product break week use disappointed
CUST0239,Customer support was quick to respond and very helpful.,4,customer support quick respond helpful
CUST0240,The product broke after a week of use. Very disappointed.,5,product break week use disappointed
CUST0241,The app is user-friendly and makes my tasks so much easier.,4,app user friendly make task easy
CUST0242,Great value for the price. I will definitely buy again.,5,great value price definitely buy
CUST0243,The app is user-friendly and makes my tasks so much easier.,1,app user friendly make task easy
CUST0244,I love the design and functionality. Highly recommended!,5,love design functionality highly recommend
CUST0245,The product quality is excellent and exceeded my expectations.,5,product quality excellent exceed expectation
CUST0246,I'm disappointed with the customer service. They were unhelpful.,2,disappointed customer service unhelpful
CUST0247,The app is user-friendly and makes my tasks so much easier.,2,app user friendly make task easy
CUST0248,Customer support was quick to respond and very helpful.,5,customer support quick respond helpful
CUST0249,"I had trouble using the product, the instructions were unclear.",2,trouble product instruction unclear
CUST0250,I love the design and functionality. Highly recommended!,2,love design functionality highly recommend
CUST0251,Great value for the price. I will definitely buy again.,4,great value price definitely buy
CUST0252,"I had trouble using the product, the instructions were unclear.",2,trouble product instruction unclear
CUST0253,The product quality is excellent and exceeded my expectations.,5,product quality excellent exceed expectation
CUST0254,The app is user-friendly and makes my tasks so much easier.,2,app user friendly make task easy
CUST0255,The quality doesn't match the price. Not worth it.,4,quality match price worth
CUST0256,Delivery was fast and the item arrived in perfect condition.,5,delivery fast item arrive perfect condition
CUST0257,The product broke after a week of use. Very disappointed.,5,product break week use disappointed
CUST0258,I love the design and functionality. Highly recommended!,5,love design functionality highly recommend
CUST0259,The product quality is excellent and exceeded my expectations.,5,product quality excellent exceed expectation
CUST0260,"I had trouble using the product, the instructions were unclear.",5,trouble product instruction unclear
CUST0261,The product broke after a week of use. Very disappointed.,1,product break week use disappointed
CUST0262,I love the design and functionality. Highly recommended!,4,love design functionality highly recommend
CUST0263,Customer support was quick to respond and very helpful.,1,customer support quick respond helpful
CUST0264,I love the design and functionality. Highly recommended!,5,love design functionality highly recommend
CUST0265,Delivery was fast and the item arrived in perfect condition.,5,delivery fast item arrive perfect condition
CUST0266,I'm disappointed with the customer service. They were unhelpful.,5,disappointed customer service unhelpful
CUST0267,"I had trouble using the product, the instructions were unclear.",1,trouble product instruction unclear
CUST0268,The product broke after a week of use. Very disappointed.,4,product break week use disappointed
CUST0269,"I had trouble using the product, the instructions were unclear.",4,trouble product instruction unclear
CUST0270,Great value for the price. I will definitely buy again.,2,great value price definitely buy
CUST0271,"I had trouble using the product, the instructions were unclear.",1,trouble product instruction unclear
CUST0272,I love the design and functionality. Highly recommended!,2,love design functionality highly recommend
CUST0273,I'm disappointed with the customer service. They were unhelpful.,1,disappointed customer service unhelpful
CUST0274,I'm disappointed with the customer service. They were unhelpful.,5,disappointed customer service unhelpful
CUST0275,I'm disappointed with the customer service. They were unhelpful.,5,disappointed customer service unhelpful
CUST0276,The product broke after a week of use. Very disappointed.,5,product break week use disappointed
CUST0277,Delivery was fast and the item arrived in perfect condition.,2,delivery fast item arrive perfect condition
CUST0278,"I had trouble using the product, the instructions were unclear.",1,trouble product instruction unclear
CUST0279,The product broke after a week of use. Very disappointed.,1,product break week use disappointed
CUST0280,Great value for the price. I will definitely buy again.,2,great value price definitely buy
CUST0281,The product quality is excellent and exceeded my expectations.,1,product quality excellent exceed expectation
CUST0282,Great value for the price. I will definitely buy again.,5,great value price definitely buy
CUST0283,Customer support was quick to respond and very helpful.,4,customer support quick respond helpful
CUST0284,I'm disappointed with the customer service. They were unhelpful.,5,disappointed customer service unhelpful
CUST0285,Delivery was fast and the item arrived in perfect condition.,5,delivery fast item arrive perfect condition
CUST0286,Delivery was fast and the item arrived in perfect condition.,5,delivery fast item arrive perfect condition
CUST0287,Delivery was fast and the item arrived in perfect condition.,1,delivery fast item arrive perfect condition
CUST0288,The product quality is excellent and exceeded my expectations.,5,product quality excellent exceed expectation
CUST0289,I'm disappointed with the customer service. They were unhelpful.,2,disappointed customer service unhelpful
CUST0290,The quality doesn't match the price. Not worth it.,2,quality match price worth
CUST0291,The product broke after a week of use. Very disappointed.,5,product break week use disappointed
CUST0292,Great value for the price. I will definitely buy again.,5,great value price definitely buy
CUST0293,Customer support was quick to respond and very helpful.,5,customer support quick respond helpful
CUST0294,Great value for the price. I will definitely buy again.,5,great value price definitely buy
CUST0295,The quality doesn't match the price. Not worth it.,2,quality match price worth
CUST0296,Great value for the price. I will definitely buy again.,5,great value price definitely buy
CUST0297,The quality doesn't match the price. Not worth it.,4,quality match price worth
CUST0298,Customer support was quick to respond and very helpful.,2,customer support quick respond helpful
CUST0299,Delivery was fast and the item arrived in perfect condition.,5,delivery fast item arrive perfect condition
CUST0300,I'm disappointed with the customer service. They were unhelpful.,5,disappointed customer service unhelpful
CUST0301,The product broke after a week of use. Very disappointed.,1,product break week use disappointed
CUST0302,I'm disappointed with the customer service. They were unhelpful.,1,disappointed customer service unhelpful
CUST0303,I love the design and functionality. Highly recommended!,5,love design functionality highly recommend
CUST0304,Customer support was quick to respond and very helpful.,4,customer support quick respond helpful
CUST0305,Delivery was fast and the item arrived in perfect condition.,5,delivery fast item arrive perfect condition
CUST0306,Great value for the price. I will definitely buy again.,5,great value price definitely buy
CUST0307,I love the design and functionality. Highly recommended!,5,love design functionality highly recommend
CUST0308,The product quality is excellent and exceeded my expectations.,5,product quality excellent exceed expectation
CUST0309,I'm disappointed with the customer service. They were unhelpful.,2,disappointed customer service unhelpful
CUST0310,The app is user-friendly and makes my tasks so much easier.,4,app user friendly make task easy
CUST0311,Great value for the price. I will definitely buy again.,5,great value price definitely buy
CUST0312,Great value for the price. I will definitely buy again.,1,great value price definitely buy
CUST0313,Delivery was fast and the item arrived in perfect condition.,5,delivery fast item arrive perfect condition
CUST0314,Delivery was fast and the item arrived in perfect condition.,1,delivery fast item arrive perfect condition
CUST0315,"I had trouble using the product, the instructions were unclear.",2,trouble product instruction unclear
CUST0316,Customer support was quick to respond and very helpful.,1,customer support quick respond helpful
CUST0317,Customer support was quick to respond and very helpful.,5,customer support quick respond helpful
CUST0318,The app is user-friendly and makes my tasks so much easier.,4,app user friendly make task easy
CUST0319,The quality doesn't match the price. Not worth it.,1,quality match price worth
CUST0320,The app is user-friendly and makes my tasks so much easier.,5,app user friendly make task easy
CUST0321,"I had trouble using the product, the instructions were unclear.",5,trouble product instruction unclear
CUST0322,Customer support was quick to respond and very helpful.,2,customer support quick respond helpful
CUST0323,I'm disappointed with the customer service. They were unhelpful.,5,disappointed customer service unhelpful
CUST0324,The quality doesn't match the price. Not worth it.,2,quality match price worth
CUST0325,Great value for the price. I will definitely buy again.,5,great value price definitely buy
CUST0326,Delivery was fast and the item arrived in perfect condition.,2,delivery fast item arrive perfect condition
CUST0327,The app is user-friendly and makes my tasks so much easier.,5,app user friendly make task easy
CUST0328,The quality doesn't match the price. Not worth it.,4,quality match price worth
CUST0329,"I had trouble using the product, the instructions were unclear.",4,trouble product instruction unclear
CUST0330,The quality doesn't match the price. Not worth it.,1,quality match price worth
CUST0331,"I had trouble using the product, the instructions were unclear.",5,trouble product instruction unclear
CUST0332,The product broke after a week of use. Very disappointed.,5,product break week use disappointed
CUST0333,"I had trouble using the product, the instructions were unclear.",4,trouble product instruction unclear
CUST0334,Delivery was fast and the item arrived in perfect condition.,2,delivery fast item arrive perfect condition
CUST0335,The product quality is excellent and exceeded my expectations.,5,product quality excellent exceed expectation
CUST0336,Great value for the price. I will definitely buy again.,5,great value price definitely buy
CUST0337,Customer support was quick to respond and very helpful.,4,customer support quick respond helpful
CUST0338,The product broke after a week of use. Very disappointed.,5,product break week use disappointed
CUST0339,I'm disappointed with the customer service. They were unhelpful.,1,disappointed customer service unhelpful
CUST0340,The app is user-friendly and makes my tasks so much easier.,1,app user friendly make task easy
CUST0341,Customer support was quick to respond and very helpful.,4,customer support quick respond helpful
CUST0342,The product broke after a week of use. Very disappointed.,5,product break week use disappointed
CUST0343,I love the design and functionality. Highly recommended!,4,love design functionality highly recommend
CUST0344,The product quality is excellent and exceeded my expectations.,4,product quality excellent exceed expectation
CUST0345,Delivery was fast and the item arrived in perfect condition.,5,delivery fast item arrive perfect condition
CUST0346,I love the design and functionality. Highly recommended!,1,love design functionality highly recommend
CUST0347,The app is user-friendly and makes my tasks so much easier.,2,app user friendly make task easy
CUST0348,The product quality is excellent and exceeded my expectations.,2,product quality excellent exceed expectation
CUST0349,I love the design and functionality. Highly recommended!,5,love design functionality highly recommend
CUST0350,The product quality is excellent and exceeded my expectations.,5,product quality excellent exceed expectation
CUST0351,I'm disappointed with the customer service. They were unhelpful.,1,disappointed customer service unhelpful
CUST0352,The product broke after a week of use. Very disappointed.,5,product break week use disappointed
CUST0353,The quality doesn't match the price. Not worth it.,4,quality match price worth
CUST0354,Customer support was quick to respond and very helpful.,1,customer support quick respond helpful
CUST0355,The quality doesn't match the price. Not worth it.,5,quality match price worth
CUST0356,Delivery was fast and the item arrived in perfect condition.,1,delivery fast item arrive perfect condition
CUST0357,The quality doesn't match the price. Not worth it.,5,quality match price worth
CUST0358,The product quality is excellent and exceeded my expectations.,5,product quality excellent exceed expectation
CUST0359,I love the design and functionality. Highly recommended!,4,love design functionality highly recommend
CUST0360,The product broke after a week of use. Very disappointed.,2,product break week use disappointed
CUST0361,I'm disappointed with the customer service. They were unhelpful.,5,disappointed customer service unhelpful
CUST0362,Delivery was fast and the item arrived in perfect condition.,5,delivery fast item arrive perfect condition
CUST0363,The product broke after a week of use. Very disappointed.,1,product break week use disappointed
CUST0364,I'm disappointed with the customer service. They were unhelpful.,5,disappointed customer service unhelpful
CUST0365,Customer support was quick to respond and very helpful.,4,customer support quick respond helpful
CUST0366,"I had trouble using the product, the instructions were unclear.",1,trouble product instruction unclear
CUST0367,The product broke after a week of use. Very disappointed.,4,product break week use disappointed
