CustomerID,Feedback,Rating,Cleaned_Feedback,Sentiment
CUST0025,Delivery was fast and the item arrived in perfect condition.,5,delivery fast item arrive perfect condition,Positive
CUST0026,"I had trouble using the product, the instructions were unclear.",5,trouble product instruction unclear,Negative
CUST0027,Great value for the price. I will definitely buy again.,5,great value price definitely buy,Positive
CUST0028,The product broke after a week of use. Very disappointed.,1,product break week use disappointed,Negative
CUST0029,I'm disappointed with the customer service. They were unhelpful.,1,disappointed customer service unhelpful,Negative
CUST0030,The product broke after a week of use. Very disappointed.,5,product break week use disappointed,Negative
CUST0031,The product quality is excellent and exceeded my expectations.,2,product quality excellent exceed expectation,Positive
CUST0032,The quality doesn't match the price. Not worth it.,5,quality match price worth,Positive
CUST0033,Customer support was quick to respond and very helpful.,5,customer support quick respond helpful,Positive
CUST0034,The product broke after a week of use. Very disappointed.,5,product break week use disappointed,Negative
CUST0035,"I had trouble using the product, the instructions were unclear.",5,trouble product instruction unclear,Negative
CUST0036,The product broke after a week of use. Very disappointed.,5,product break week use disappointed,Negative
CUST0037,I'm disappointed with the customer service. They were unhelpful.,2,disappointed customer service unhelpful,Negative
CUST0038,Delivery was fast and the item arrived in perfect condition.,5,delivery fast item arrive perfect condition,Positive
CUST0039,I'm disappointed with the customer service. They were unhelpful.,1,disappointed customer service unhelpful,Negative
CUST0040,Great value for the price. I will definitely buy again.,4,great value price definitely buy,Positive
CUST0041,"I had trouble using the product, the instructions were unclear.",5,trouble product instruction unclear,Negative
CUST0042,Customer support was quick to respond and very helpful.,4,customer support quick respond helpful,Positive
CUST0043,Great value for the price. I will definitely buy again.,1,great value price definitely buy,Positive
CUST0044,The product quality is excellent and exceeded my expectations.,4,product quality excellent exceed expectation,Positive
CUST0045,The product quality is excellent and exceeded my expectations.,4,product quality excellent exceed expectation,Positive
CUST0046,The app is user-friendly and makes my tasks so much easier.,4,app user friendly make task easy,Positive
CUST0047,The app is user-friendly and makes my tasks so much easier.,1,app user friendly make task easy,Positive
CUST0048,The product quality is excellent and exceeded my expectations.,1,product quality excellent exceed expectation,Positive
CUST0049,Delivery was fast and the item arrived in perfect condition.,4,delivery fast item arrive perfect condition,Positive
CUST0050,The quality doesn't match the price. Not worth it.,5,quality match price worth,Positive
CUST0051,"I had trouble using the product, the instructions were unclear.",1,trouble product instruction unclear,Negative
CUST0052,I love the design and functionality. Highly recommended!,2,love design functionality highly recommend,Positive
CUST0053,I love the design and functionality. Highly recommended!,5,love design functionality highly recommend,Positive
CUST0054,The product quality is excellent and exceeded my expectations.,5,product quality excellent exceed expectation,Positive
CUST0055,The product quality is excellent and exceeded my expectations.,1,product quality excellent exceed expectation,Positive
CUST0056,The product quality is excellent and exceeded my expectations.,2,product quality excellent exceed expectation,Positive
CUST0057,The app is user-friendly and makes my tasks so much easier.,5,app user friendly make task easy,Positive
CUST0058,Great value for the price. I will definitely buy again.,4,great value price definitely buy,Positive
CUST0059,I'm disappointed with the customer service. They were unhelpful.,4,disappointed customer service unhelpful,Negative
CUST0060,The quality doesn't match the price. Not worth it.,5,quality match price worth,Positive
CUST0061,The product broke after a week of use. Very disappointed.,5,product break week use disappointed,Negative
CUST0062,I love the design and functionality. Highly recommended!,5,love design functionality highly recommend,Positive
CUST0063,The product broke after a week of use. Very disappointed.,5,product break week use disappointed,Negative
CUST0064,Customer support was quick to respond and very helpful.,4,customer support quick respond helpful,Positive
CUST0065,The quality doesn't match the price. Not worth it.,1,quality match price worth,Positive
CUST0066,The product broke after a week of use. Very disappointed.,5,product break week use disappointed,Negative
CUST0067,The product broke after a week of use. Very disappointed.,2,product break week use disappointed,Negative
CUST0068,The quality doesn't match the price. Not worth it.,5,quality match price worth,Positive
CUST0069,"I had trouble using the product, the instructions were unclear.",1,trouble product instruction unclear,Negative
CUST0070,"I had trouble using the product, the instructions were unclear.",1,trouble product instruction unclear,Negative
CUST0071,The product quality is excellent and exceeded my expectations.,4,product quality excellent exceed expectation,Positive
CUST0072,The product quality is excellent and exceeded my expectations.,2,product quality excellent exceed expectation,Positive
CUST0073,The quality doesn't match the price. Not worth it.,4,quality match price worth,Positive
CUST0074,The app is user-friendly and makes my tasks so much easier.,1,app user friendly make task easy,Positive
CUST0075,The app is user-friendly and makes my tasks so much easier.,5,app user friendly make task easy,Positive
CUST0076,Customer support was quick to respond and very helpful.,4,customer support quick respond helpful,Positive
CUST0077,The product quality is excellent and exceeded my expectations.,2,product quality excellent exceed expectation,Positive
CUST0078,"I had trouble using the product, the instructions were unclear.",2,trouble product instruction unclear,Negative
CUST0079,The product quality is excellent and exceeded my expectations.,2,product quality excellent exceed expectation,Positive
CUST0080,Great value for the price. I will definitely buy again.,5,great value price definitely buy,Positive
CUST0081,I'm disappointed with the customer service. They were unhelpful.,5,disappointed customer service unhelpful,Negative
CUST0082,"I had trouble using the product, the instructions were unclear.",4,trouble product instruction unclear,Negative
CUST0083,The product quality is excellent and exceeded my expectations.,5,product quality excellent exceed expectation,Positive
CUST0084,The product broke after a week of use. Very disappointed.,2,product break week use disappointed,Negative
CUST0085,Delivery was fast and the item arrived in perfect condition.,2,delivery fast item arrive perfect condition,Positive
CUST0086,Customer support was quick to respond and very helpful.,5,customer support quick respond helpful,Positive
CUST0087,"I had trouble using the product, the instructions were unclear.",5,trouble product instruction unclear,Negative
CUST0088,The app is user-friendly and makes my tasks so much easier.,5,app user friendly make task easy,Positive
CUST0089,The quality doesn't match the price. Not worth it.,1,quality match price worth,Positive
CUST0090,"I had trouble using the product, the instructions were unclear.",5,trouble product instruction unclear,Negative
CUST0091,I'm disappointed with the customer service. They were unhelpful.,2,disappointed customer service unhelpful,Negative
CUST0092,The product quality is excellent and exceeded my expectations.,1,product quality excellent exceed expectation,Positive
CUST0093,The app is user-friendly and makes my tasks so much easier.,5,app user friendly make task easy,Positive
CUST0094,"I had trouble using the product, the instructions were unclear.",2,trouble product instruction unclear,Negative
CUST0095,"I had trouble using the product, the instructions were unclear.",4,trouble product instruction unclear,Negative
CUST0096,"I had trouble using the product, the instructions were unclear.",1,trouble product instruction unclear,Negative
CUST0097,Delivery was fast and the item arrived in perfect condition.,2,delivery fast item arrive perfect condition,Positive
CUST0098,The product quality is excellent and exceeded my expectations.,2,product quality excellent exceed expectation,Positive
CUST0099,The quality doesn't match the price. Not worth it.,2,quality match price worth,Positive
CUST0100,I'm disappointed with the customer service. They were unhelpful.,5,disappointed customer service unhelpful,Negative
CUST0101,"I had trouble using the product, the instructions were unclear.",5,trouble product instruction unclear,Negative
CUST0102,"I had trouble using the product, the instructions were unclear.",1,trouble product instruction unclear,Negative
CUST0103,The quality doesn't match the price. Not worth it.,5,quality match price worth,Positive
CUST0104,The product quality is excellent and exceeded my expectations.,1,product quality excellent exceed expectation,Positive
CUST0105,Customer support was quick to respond and very helpful.,2,customer support quick respond helpful,Positive
CUST0106,I'm disappointed with the customer service. They were unhelpful.,5,disappointed customer service unhelpful,Negative
CUST0107,"I had trouble using the product, the instructions were unclear.",5,trouble product instruction unclear,Negative
CUST0108,The product quality is excellent and exceeded my expectations.,1,product quality excellent exceed expectation,Positive
CUST0109,"I had trouble using the product, the instructions were unclear.",4,trouble product instruction unclear,Negative
CUST0110,The quality doesn't match the price. Not worth it.,2,quality match price worth,Positive
CUST0111,The quality doesn't match the price. Not worth it.,2,quality match price worth,Positive
CUST0112,The quality doesn't match the price. Not worth it.,2,quality match price worth,Positive
CUST0113,Customer support was quick to respond and very helpful.,5,customer support quick respond helpful,Positive
CUST0114,I love the design and functionality. Highly recommended!,2,love design functionality highly recommend,Positive
CUST0115,Great value for the price. I will definitely buy again.,1,great value price definitely buy,Positive
CUST0116,The quality doesn't match the price. Not worth it.,5,quality match price worth,Positive
CUST0117,Great value for the price. I will definitely buy again.,5,great value price definitely buy,Positive
CUST0118,I love the design and functionality. Highly recommended!,4,love design functionality highly recommend,Positive
CUST0119,Great value for the price. I will definitely buy again.,2,great value price definitely buy,Positive
CUST0120,Delivery was fast and the item arrived in perfect condition.,4,delivery fast item arrive perfect condition,Positive
CUST0121,Great value for the price. I will definitely buy again.,5,great value price definitely buy,Positive
CUST0122,Delivery was fast and the item arrived in perfect condition.,5,delivery fast item arrive perfect condition,Positive
CUST0123,"I had trouble using the product, the instructions were unclear.",1,trouble product instruction unclear,Negative
CUST0124,I love the design and functionality. Highly recommended!,1,love design functionality highly recommend,Positive
CUST0125,The app is user-friendly and makes my tasks so much easier.,5,app user friendly make task easy,Positive
CUST0126,The product broke after a week of use. Very disappointed.,1,product break week use disappointed,Negative
CUST0127,The product quality is excellent and exceeded my expectations.,1,product quality excellent exceed expectation,Positive
CUST0128,Customer support was quick to respond and very helpful.,4,customer support quick respond helpful,Positive
CUST0129,"I had trouble using the product, the instructions were unclear.",1,trouble product instruction unclear,Negative
CUST0130,The app is user-friendly and makes my tasks so much easier.,5,app user friendly make task easy,Positive
CUST0131,The product broke after a week of use. Very disappointed.,5,product break week use disappointed,Negative
CUST0132,I'm disappointed with the customer service. They were unhelpful.,2,disappointed customer service unhelpful,Negative
CUST0133,Delivery was fast and the item arrived in perfect condition.,5,delivery fast item arrive perfect condition,Positive
CUST0134,I love the design and functionality. Highly recommended!,2,love design functionality highly recommend,Positive
CUST0135,Great value for the price. I will definitely buy again.,1,great value price definitely buy,Positive
CUST0136,"I had trouble using the product, the instructions were unclear.",4,trouble product instruction unclear,Negative
CUST0137,The product broke after a week of use. Very disappointed.,1,product break week use disappointed,Negative
CUST0138,I'm disappointed with the customer service. They were unhelpful.,5,disappointed customer service unhelpful,Negative
CUST0139,Delivery was fast and the item arrived in perfect condition.,4,delivery fast item arrive perfect condition,Positive
CUST0140,The product broke after a week of use. Very disappointed.,1,product break week use disappointed,Negative
CUST0141,I'm disappointed with the customer service. They were unhelpful.,5,disappointed customer service unhelpful,Negative
CUST0142,The product quality is excellent and exceeded my expectations.,4,product quality excellent exceed expectation,Positive
CUST0143,"I had trouble using the product, the instructions were unclear.",5,trouble product instruction unclear,Negative
CUST0144,The product quality is excellent and exceeded my expectations.,4,product quality excellent exceed expectation,Positive
CUST0145,I'm disappointed with the customer service. They were unhelpful.,5,disappointed customer service unhelpful,Negative
CUST0146,The product broke after a week of use. Very disappointed.,2,product break week use disappointed,Negative
CUST0147,The quality doesn't match the price. Not worth it.,2,quality match price worth,Positive
CUST0148,The product broke after a week of use. Very disappointed.,4,product break week use disappointed,Negative
CUST0149,The product broke after a week of use. Very disappointed.,2,product break week use disappointed,Negative
CUST0150,Delivery was fast and the item arrived in perfect condition.,2,delivery fast item arrive perfect condition,Positive
CUST0151,"I had trouble using the product, the instructions were unclear.",5,trouble product instruction unclear,Negative
CUST0152,The quality doesn't match the price. Not worth it.,5,quality match price worth,Positive
CUST0153,The app is user-friendly and makes my tasks so much easier.,5,app user friendly make task easy,Positive
CUST0154,I'm disappointed with the customer service. They were unhelpful.,1,disappointed customer service unhelpful,Negative
CUST0155,The quality doesn't match the price. Not worth it.,5,quality match price worth,Positive
CUST0156,Delivery was fast and the item arrived in perfect condition.,5,delivery fast item arrive perfect condition,Positive
CUST0157,I love the design and functionality. Highly recommended!,5,love design functionality highly recommend,Positive
CUST0158,The quality doesn't match the price. Not worth it.,4,quality match price worth,Positive
CUST0159,Great value for the price. I will definitely buy again.,5,great value price definitely buy,Positive
CUST0160,I love the design and functionality. Highly recommended!,1,love design functionality highly recommend,Positive
CUST0161,Great value for the price. I will definitely buy again.,2,great value price definitely buy,Positive
CUST0162,I love the design and functionality. Highly recommended!,4,love design functionality highly recommend,Positive
CUST0163,The product broke after a week of use. Very disappointed.,1,product break week use disappointed,Negative
CUST0164,The quality doesn't match the price. Not worth it.,5,quality match price worth,Positive
CUST0165,The product quality is excellent and exceeded my expectations.,2,product quality excellent exceed expectation,Positive
CUST0166,The product broke after a week of use. Very disappointed.,1,product break week use disappointed,Negative
CUST0167,The app is user-friendly and makes my tasks so much easier.,1,app user friendly make task easy,Positive
CUST0168,The product quality is excellent and exceeded my expectations.,4,product quality excellent exceed expectation,Positive
CUST0169,Customer support was quick to respond and very helpful.,1,customer support quick respond helpful,Positive
CUST0170,The quality doesn't match the price. Not worth it.,1,quality match price worth,Positive
CUST0171,Customer support was quick to respond and very helpful.,5,customer support quick respond helpful,Positive
CUST0172,The app is user-friendly and makes my tasks so much easier.,2,app user friendly make task easy,Positive
CUST0173,The quality doesn't match the price. Not worth it.,4,quality match price worth,Positive
CUST0174,The product broke after a week of use. Very disappointed.,2,product break week use disappointed,Negative
CUST0175,I'm disappointed with the customer service. They were unhelpful.,1,disappointed customer service unhelpful,Negative
CUST0176,I'm disappointed with the customer service. They were unhelpful.,4,disappointed customer service unhelpful,Negative
CUST0177,The quality doesn't match the price. Not worth it.,4,quality match price worth,Positive
CUST0178,I'm disappointed with the customer service. They were unhelpful.,1,disappointed customer service unhelpful,Negative
CUST0179,The product quality is excellent and exceeded my expectations.,2,product quality excellent exceed expectation,Positive
CUST0180,Great value for the price. I will definitely buy again.,4,great value price definitely buy,Positive
CUST0181,Delivery was fast and the item arrived in perfect condition.,5,delivery fast item arrive perfect condition,Positive
CUST0182,The quality doesn't match the price. Not worth it.,1,quality match price worth,Positive
CUST0183,The quality doesn't match the price. Not worth it.,2,quality match price worth,Positive
CUST0184,The app is user-friendly and makes my tasks so much easier.,1,app user friendly make task easy,Positive
CUST0185,The product quality is excellent and exceeded my expectations.,4,product quality excellent exceed expectation,Positive
CUST0186,Delivery was fast and the item arrived in perfect condition.,5,delivery fast item arrive perfect condition,Positive
CUST0187,I love the design and functionality. Highly recommended!,1,love design functionality highly recommend,Positive
CUST0188,Customer support was quick to respond and very helpful.,5,customer support quick respond helpful,Positive
CUST0189,The quality doesn't match the price. Not worth it.,1,quality match price worth,Positive
CUST0190,Delivery was fast and the item arrived in perfect condition.,5,delivery fast item arrive perfect condition,Positive
CUST0191,"I had trouble using the product, the instructions were unclear.",2,trouble product instruction unclear,Negative
CUST0192,The quality doesn't match the price. Not worth it.,4,quality match price worth,Positive
CUST0193,Customer support was quick to respond and very helpful.,5,customer support quick respond helpful,Positive
CUST0194,Delivery was fast and the item arrived in perfect condition.,5,delivery fast item arrive perfect condition,Positive
CUST0195,The product broke after a week of use. Very disappointed.,5,product break week use disappointed,Negative
CUST0196,"I had trouble using the product, the instructions were unclear.",4,trouble product instruction unclear,Negative
CUST0197,Great value for the price. I will definitely buy again.,2,great value price definitely buy,Positive
CUST0198,The product quality is excellent and exceeded my expectations.,5,product quality excellent exceed expectation,Positive
CUST0199,I love the design and functionality. Highly recommended!,5,love design functionality highly recommend,Positive
CUST0200,Delivery was fast and the item arrived in perfect condition.,2,delivery fast item arrive perfect condition,Positive
CUST0201,I'm disappointed with the customer service. They were unhelpful.,1,disappointed customer service unhelpful,Negative
CUST0202,The app is user-friendly and makes my tasks so much easier.,4,app user friendly make task easy,Positive
CUST0203,Delivery was fast and the item arrived in perfect condition.,2,delivery fast item arrive perfect condition,Positive
CUST0204,I'm disappointed with the customer service. They were unhelpful.,1,disappointed customer service unhelpful,Negative
CUST0205,"I had trouble using the product, the instructions were unclear.",5,trouble product instruction unclear,Negative
CUST0206,The product quality is excellent and exceeded my expectations.,5,product quality excellent exceed expectation,Positive
CUST0207,The product broke after a week of use. Very disappointed.,1,product break week use disappointed,Negative
CUST0208,The app is user-friendly and makes my tasks so much easier.,5,app user friendly make task easy,Positive
CUST0209,Delivery was fast and the item arrived in perfect condition.,1,delivery fast item arrive perfect condition,Positive
CUST0210,The quality doesn't match the price. Not worth it.,4,quality match price worth,Positive
CUST0211,"I had trouble using the product, the instructions were unclear.",1,trouble product instruction unclear,Negative
CUST0212,The app is user-friendly and makes my tasks so much easier.,4,app user friendly make task easy,Positive
CUST0213,The product broke after a week of use. Very disappointed.,4,product break week use disappointed,Negative
CUST0214,The quality doesn't match the price. Not worth it.,4,quality match price worth,Positive
CUST0215,Delivery was fast and the item arrived in perfect condition.,5,delivery fast item arrive perfect condition,Positive
CUST0216,Great value for the price. I will definitely buy again.,5,great value price definitely buy,Positive
CUST0217,The product quality is excellent and exceeded my expectations.,5,product quality excellent exceed expectation,Positive
CUST0218,Delivery was fast and the item arrived in perfect condition.,4,delivery fast item arrive perfect condition,Positive
CUST0219,The product quality is excellent and exceeded my expectations.,1,product quality excellent exceed expectation,Positive
CUST0220,The quality doesn't match the price. Not worth it.,4,quality match price worth,Positive
CUST0221,I love the design and functionality. Highly recommended!,5,love design functionality highly recommend,Positive
CUST0222,The app is user-friendly and makes my tasks so much easier.,1,app user friendly make task easy,Positive
CUST0223,The app is user-friendly and makes my tasks so much easier.,4,app user friendly make task easy,Positive
CUST0224,The product quality is excellent and exceeded my expectations.,5,product quality excellent exceed expectation,Positive
CUST0225,Delivery was fast and the item arrived in perfect condition.,2,delivery fast item arrive perfect condition,Positive
CUST0226,Delivery was fast and the item arrived in perfect condition.,5,delivery fast item arrive perfect condition,Positive
CUST0227,Customer support was quick to respond and very helpful.,2,customer support quick respond helpful,Positive
CUST0228,I love the design and functionality. Highly recommended!,5,love design functionality highly recommend,Positive
CUST0229,I love the design and functionality. Highly recommended!,2,love design functionality highly recommend,Positive
CUST0230,Customer support was quick to respond and very helpful.,5,customer support quick respond helpful,Positive
CUST0231,I love the design and functionality. Highly recommended!,5,love design functionality highly recommend,Positive
CUST0232,The quality doesn't match the price. Not worth it.,4,quality match price worth,Positive
CUST0233,Great value for the price. I will definitely buy again.,4,great value price definitely buy,Positive
CUST0234,Customer support was quick to respond and very helpful.,5,customer support quick respond helpful,Positive
CUST0235,Great value for the price. I will definitely buy again.,5,great value price definitely buy,Positive
CUST0236,Delivery was fast and the item arrived in perfect condition.,2,delivery fast item arrive perfect condition,Positive
CUST0237,The app is user-friendly and makes my tasks so much easier.,5,app user friendly make task easy,Positive
CUST0238,The product broke after a week of use. Very disappointed.,5,product break week use disappointed,Negative
CUST0239,Customer support was quick to respond and very helpful.,4,customer support quick respond helpful,Positive
CUST0240,The product broke after a week of use. Very disappointed.,5,product break week use disappointed,Negative
CUST0241,The app is user-friendly and makes my tasks so much easier.,4,app user friendly make task easy,Positive
CUST0242,Great value for the price. I will definitely buy again.,5,great value price definitely buy,Positive
CUST0243,The app is user-friendly and makes my tasks so much easier.,1,app user friendly make task easy,Positive
CUST0244,I love the design and functionality. Highly recommended!,5,love design functionality highly recommend,Positive
CUST0245,The product quality is excellent and exceeded my expectations.,5,product quality excellent exceed expectation,Positive
CUST0246,I'm disappointed with the customer service. They were unhelpful.,2,disappointed customer service unhelpful,Negative
CUST0247,The app is user-friendly and makes my tasks so much easier.,2,app user friendly make task easy,Positive
CUST0248,Customer support was quick to respond and very helpful.,5,customer support quick respond helpful,Positive
CUST0249,"I had trouble using the product, the instructions were unclear.",2,trouble product instruction unclear,Negative
CUST0250,I love the design and functionality. Highly recommended!,2,love design functionality highly recommend,Positive
CUST0251,Great value for the price. I will definitely buy again.,4,great value price definitely buy,Positive
CUST0252,"I had trouble using the product, the instructions were unclear.",2,trouble product instruction unclear,Negative
CUST0253,The product quality is excellent and exceeded my expectations.,5,product quality excellent exceed expectation,Positive
CUST0254,The app is user-friendly and makes my tasks so much easier.,2,app user friendly make task easy,Positive
CUST0255,The quality doesn't match the price. Not worth it.,4,quality match price worth,Positive
CUST0256,Delivery was fast and the item arrived in perfect condition.,5,delivery fast item arrive perfect condition,Positive
CUST0257,The product broke after a week of use. Very disappointed.,5,product break week use disappointed,Negative
CUST0258,I love the design and functionality. Highly recommended!,5,love design functionality highly recommend,Positive
CUST0259,The product quality is excellent and exceeded my expectations.,5,product quality excellent exceed expectation,Positive
CUST0260,"I had trouble using the product, the instructions were unclear.",5,trouble product instruction unclear,Negative
CUST0261,The product broke after a week of use. Very disappointed.,1,product break week use disappointed,Negative
CUST0262,I love the design and functionality. Highly recommended!,4,love design functionality highly recommend,Positive
CUST0263,Customer support was quick to respond and very helpful.,1,customer support quick respond helpful,Positive
CUST0264,I love the design and functionality. Highly recommended!,5,love design functionality highly recommend,Positive
CUST0265,Delivery was fast and the item arrived in perfect condition.,5,delivery fast item arrive perfect condition,Positive
CUST0266,I'm disappointed with the customer service. They were unhelpful.,5,disappointed customer service unhelpful,Negative
CUST0267,"I had trouble using the product, the instructions were unclear.",1,trouble product instruction unclear,Negative
CUST0268,The product broke after a week of use. Very disappointed.,4,product break week use disappointed,Negative
CUST0269,"I had trouble using the product, the instructions were unclear.",4,trouble product instruction unclear,Negative
CUST0270,Great value for the price. I will definitely buy again.,2,great value price definitely buy,Positive
CUST0271,"I had trouble using the product, the instructions were unclear.",1,trouble product instruction unclear,Negative
CUST0272,I love the design and functionality. Highly recommended!,2,love design functionality highly recommend,Positive
CUST0273,I'm disappointed with the customer service. They were unhelpful.,1,disappointed customer service unhelpful,Negative
CUST0274,I'm disappointed with the customer service. They were unhelpful.,5,disappointed customer service unhelpful,Negative
CUST0275,I'm disappointed with the customer service. They were unhelpful.,5,disappointed customer service unhelpful,Negative
CUST0276,The product broke after a week of use. Very disappointed.,5,product break week use disappointed,Negative
CUST0277,Delivery was fast and the item arrived in perfect condition.,2,delivery fast item arrive perfect condition,Positive
CUST0278,"I had trouble using the product, the instructions were unclear.",1,trouble product instruction unclear,Negative
CUST0279,The product broke after a week of use. Very disappointed.,1,product break week use disappointed,Negative
CUST0280,Great value for the price. I will definitely buy again.,2,great value price definitely buy,Positive
CUST0281,The product quality is excellent and exceeded my expectations.,1,product quality excellent exceed expectation,Positive
CUST0282,Great value for the price. I will definitely buy again.,5,great value price definitely buy,Positive
CUST0283,Customer support was quick to respond and very helpful.,4,customer support quick respond helpful,Positive
CUST0284,I'm disappointed with the customer service. They were unhelpful.,5,disappointed customer service unhelpful,Negative
CUST0285,Delivery was fast and the item arrived in perfect condition.,5,delivery fast item arrive perfect condition,Positive
CUST0286,Delivery was fast and the item arrived in perfect condition.,5,delivery fast item arrive perfect condition,Positive
CUST0287,Delivery was fast and the item arrived in perfect condition.,1,delivery fast item arrive perfect condition,Positive
CUST0288,The product quality is excellent and exceeded my expectations.,5,product quality excellent exceed expectation,Positive
CUST0289,I'm disappointed with the customer service. They were unhelpful.,2,disappointed customer service unhelpful,Negative
CUST0290,The quality doesn't match the price. Not worth it.,2,quality match price worth,Positive
CUST0291,The product broke after a week of use. Very disappointed.,5,product break week use disappointed,Negative
CUST0292,Great value for the price. I will definitely buy again.,5,great value price definitely buy,Positive
CUST0293,Customer support was quick to respond and very helpful.,5,customer support quick respond helpful,Positive
CUST0294,Great value for the price. I will definitely buy again.,5,great value price definitely buy,Positive
CUST0295,The quality doesn't match the price. Not worth it.,2,quality match price worth,Positive
CUST0296,Great value for the price. I will definitely buy again.,5,great value price definitely buy,Positive
CUST0297,The quality doesn't match the price. Not worth it.,4,quality match price worth,Positive
CUST0298,Customer support was quick to respond and very helpful.,2,customer support quick respond helpful,Positive
CUST0299,Delivery was fast and the item arrived in perfect condition.,5,delivery fast item arrive perfect condition,Positive
CUST0300,I'm disappointed with the customer service. They were unhelpful.,5,disappointed customer service unhelpful,Negative
CUST0301,The product broke after a week of use. Very disappointed.,1,product break week use disappointed,Negative
CUST0302,I'm disappointed with the customer service. They were unhelpful.,1,disappointed customer service unhelpful,Negative
CUST0303,I love the design and functionality. Highly recommended!,5,love design functionality highly recommend,Positive
CUST0304,Customer support was quick to respond and very helpful.,4,customer support quick respond helpful,Positive
CUST0305,Delivery was fast and the item arrived in perfect condition.,5,delivery fast item arrive perfect condition,Positive
CUST0306,Great value for the price. I will definitely buy again.,5,great value price definitely buy,Positive
CUST0307,I love the design and functionality. Highly recommended!,5,love design functionality highly recommend,Positive
CUST0308,The product quality is excellent and exceeded my expectations.,5,product quality excellent exceed expectation,Positive
CUST0309,I'm disappointed with the customer service. They were unhelpful.,2,disappointed customer service unhelpful,Negative
CUST0310,The app is user-friendly and makes my tasks so much easier.,4,app user friendly make task easy,Positive
CUST0311,Great value for the price. I will definitely buy again.,5,great value price definitely buy,Positive
CUST0312,Great value for the price. I will definitely buy again.,1,great value price definitely buy,Positive
CUST0313,Delivery was fast and the item arrived in perfect condition.,5,delivery fast item arrive perfect condition,Positive
CUST0314,Delivery was fast and the item arrived in perfect condition.,1,delivery fast item arrive perfect condition,Positive
CUST0315,"I had trouble using the product, the instructions were unclear.",2,trouble product instruction unclear,Negative
CUST0316,Customer support was quick to respond and very helpful.,1,customer support quick respond helpful,Positive
CUST0317,Customer support was quick to respond and very helpful.,5,customer support quick respond helpful,Positive
CUST0318,The app is user-friendly and makes my tasks so much easier.,4,app user friendly make task easy,Positive
CUST0319,The quality doesn't match the price. Not worth it.,1,quality match price worth,Positive
CUST0320,The app is user-friendly and makes my tasks so much easier.,5,app user friendly make task easy,Positive
CUST0321,"I had trouble using the product, the instructions were unclear.",5,trouble product instruction unclear,Negative
CUST0322,Customer support was quick to respond and very helpful.,2,customer support quick respond helpful,Positive
CUST0323,I'm disappointed with the customer service. They were unhelpful.,5,disappointed customer service unhelpful,Negative
CUST0324,The quality doesn't match the price. Not worth it.,2,quality match price worth,Positive
CUST0325,Great value for the price. I will definitely buy again.,5,great value price definitely buy,Positive
CUST0326,Delivery was fast and the item arrived in perfect condition.,2,delivery fast item arrive perfect condition,Positive
CUST0327,The app is user-friendly and makes my tasks so much easier.,5,app user friendly make task easy,Positive
CUST0328,The quality doesn't match the price. Not worth it.,4,quality match price worth,Positive
CUST0329,"I had trouble using the product, the instructions were unclear.",4,trouble product instruction unclear,Negative
CUST0330,The quality doesn't match the price. Not worth it.,1,quality match price worth,Positive
CUST0331,"I had trouble using the product, the instructions were unclear.",5,trouble product instruction unclear,Negative
CUST0332,The product broke after a week of use. Very disappointed.,5,product break week use disappointed,Negative
